n,m,k,ProbOfMiss,SD
10,12,1,0.7179999999999999,0.016076
10,12,2,0.52,0.0192
10,12,3,0.33899999999999997,0.025979000000000002
10,12,4,0.15299999999999997,0.011691000000000002
10,12,5,0.065,0.007075000000000002
25,12,1,0.49199999999999994,0.019535999999999998
25,12,2,0.205,0.019475
25,12,3,0.106,0.010564
25,12,4,0.035,0.003274999999999999
25,12,5,0.008,0.0007359999999999997
50,12,1,0.33699999999999997,0.014531
50,12,2,0.081,0.007339
50,12,3,0.006999999999999999,0.0006509999999999998
50,12,4,0.001,9.899999999999997e-05
50,12,5,0.0,0.0
100,12,1,0.15900000000000003,0.012219000000000002
100,12,2,0.01,0.0009
100,12,3,0.0,0.0
100,12,4,0.0,0.0
100,12,5,0.0,0.0
250,12,1,0.031000000000000007,0.0029389999999999998
250,12,2,0.0,0.0
250,12,3,0.0,0.0
250,12,4,0.0,0.0
250,12,5,0.0,0.0
500,12,1,0.005,0.000475
500,12,2,0.0,0.0
500,12,3,0.0,0.0
500,12,4,0.0,0.0
500,12,5,0.0,0.0
1000,12,1,0.0,0.0
1000,12,2,0.0,0.0
1000,12,3,0.0,0.0
1000,12,4,0.0,0.0
1000,12,5,0.0,0.0
1500,12,1,0.0,0.0
1500,12,2,0.0,0.0
1500,12,3,0.0,0.0
1500,12,4,0.0,0.0
1500,12,5,0.0,0.0
